Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"School enrollment, primary (% gross)",SE.PRM.ENRR,Afghanistan,AFG,20.9575805664063,20.8829097747803,68.9868469238281,93.3621826171875,104.663818359375,98.0998916625977,101.697853088379,98.9335098266602,100.779731750488,96.8964004516602,100.071708679199,97.6416397094727,103.492393493652,104.498428344727,105.919708251953,103.534523010254,102.486473083496
"School enrollment, primary (% gross)",SE.PRM.ENRR,Albania,ALB,104.196189880371,102.96736907959,101.411506652832,100.005142211914,98.1780014038086,100.676040649414,97.8757095336914,96.3456268310547,95.682502746582,93.1045608520508,93.4904708862305,95.0060806274414,97.5851287841797,99.9839096069336,104.108039855957,105.542976379395,105.553863525391
"School enrollment, primary (% gross)",SE.PRM.ENRR,Algeria,DZA,105.164909362793,104.021697998047,105.142471313477,105.926750183105,106.893898010254,107.586097717285,108.15657043457,109.531707763672,109.230972290039,112.35897064209,115.337577819824,116.567909240723,118.07958984375,119.539321899414,118.502807617188,115.877838134766,113.830200195313
"School enrollment, primary (% gross)",SE.PRM.ENRR,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Angola,AGO,..,..,..,..,..,..,..,98.9735794067383,105.180206298828,104.130569458008,105.781036376953,119.530143737793,..,..,..,113.477958679199,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Antigua and Barbuda,ATG,127.596000671387,..,..,..,..,..,..,114.578590393066,114.203872680664,111.489028930664,112.292961120605,110.573486328125,108.030181884766,..,106.04670715332,104.990623474121,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Argentina,ARG,115.694129943848,116.25016784668,116.798431396484,114.494667053223,115.806053161621,115.29914855957,117.203300476074,118.051109313965,118.593460083008,117.905982971191,116.975761413574,115.614730834961,114.227172851563,112.011947631836,111.459671020508,111.303413391113,110.739181518555
"School enrollment, primary (% gross)",SE.PRM.ENRR,Armenia,ARM,98.6637268066406,102.13005065918,95.3749389648438,94.1989364624023,94.9213714599609,95.4410629272461,100.155799865723,113.287620544434,114.518676757813,110.846778869629,99.0649871826172,98.4758605957031,98.9177398681641,98.449462890625,96.8659896850586,95.0036468505859,94.5178985595703
"School enrollment, primary (% gross)",SE.PRM.ENRR,Aruba,ABW,110.788177490234,109.440963745117,111.010833740234,109.214302062988,110.839050292969,111.37671661377,114.251152038574,115.211578369141,113.091613769531,113.801788330078,113.794296264648,105.255859375,104.087127685547,116.03929901123,117.108093261719,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Australia,AUS,100.72193145752,100.639778137207,101.548782348633,101.674308776855,102.264129638672,102.739318847656,103.304046630859,105.183052062988,105.141120910645,105.302131652832,105.619430541992,105.689682006836,105.984451293945,105.993850708008,105.457092285156,101.599906921387,100.744407653809
"School enrollment, primary (% gross)",SE.PRM.ENRR,Austria,AUT,103.672317504883,102.947471618652,101.251480102539,100.463821411133,100.721321105957,100.832618713379,101.559288024902,101.671249389648,100.725936889648,100.202476501465,99.7897796630859,99.7387008666992,100.599060058594,101.210121154785,101.628189086914,101.997482299805,102.264358520508
"School enrollment, primary (% gross)",SE.PRM.ENRR,Azerbaijan,AZE,97.2074890136719,98.8610000610352,98.3494262695313,96.2132415771484,97.2613296508789,95.526969909668,94.2166595458984,94.7712020874023,94.0724716186523,95.0685729980469,93.7622985839844,95.5736312866211,97.9553070068359,100.500450134277,106.05989074707,106.601486206055,106.431739807129
